character,variant,mass,center_x,center_y,first_moment,second_moment,magnitude,canny_edge_density,sobel_edge_density,sobel_mean_magnitude,sobel_std_magnitude,edge_direction_ratio,hog_mean,hog_std,hog_max,hog_energy,hu_moments,symmetry,aspect_ratio,projection_variance,vertical_intensity_variance,l1_normalized_gradient,num_contours,hole_count,avg_euler_number,avg_contour_solidity,avg_contour_area,compactness,cc_count,avg_cc_area,cc_area_std,hu_moment_1,hu_moment_2,hu_moment_3,hu_moment_4,hu_moment_5,hu_moment_6,hu_moment_7
cell_r9_c1_blob_1_word_6_char_02.png,0,1024,0.0,0.0,2.078125,189.790771484375,445.834049843661,0.015625,0.064453125,17.320764576868292,77.85613047135534,0.5103915870460144,0.11111111111111113,0.04716213988792101,0.17646740944347278,0.13112951806038162,,0.975,0.25,28.350738525390625,43.10516357421875,22.390625,2,0,0.0,1.0,2.25,0.5715045502581996,2,6.5,0.5,0.003979457205560727,1.1455324077876144e-05,7.829257294901574e-10,4.293314943157044e-10,2.4853053795453826e-19,1.4160292139007307e-12,1.381210347125207e-20
cell_r17_c14_blob_1_word_3_char_01.png,1,1024,0.0,0.0,6.57421875,668.3206634521484,853.5912370684226,0.0380859375,0.1220703125,33.934669535981094,104.67078560770317,0.6063114456652616,0.1111111111111111,0.05127850993176102,0.19306582888261717,0.13477648133850653,,0.9392156862745098,0.5333333333333333,125.39570617675781,162.92564392089844,43.701171875,1,0,0.0,0.7433628318584071,42.0,0.48551924097679783,1,57.0,0.0,0.0017822720307434637,6.093936569939653e-07,7.681028986159741e-10,8.443394941963529e-12,-4.591030696683496e-22,-1.5402985861721154e-15,-5.015717456193907e-22
cell_r11_c1_blob_1_word_1_char_05.png,2,1024,0.0,0.0,2.310546875,250.59301376342773,511.93163606090997,0.009765625,0.0625,16.58352152820799,77.81399657981501,0.9642890917176452,0.1111111111111111,0.03250513568311572,0.15373414760721527,0.12062036572311095,,0.975,0.45454545454545453,29.880916595458984,30.138484954833984,20.234375,1,0,0.0,0.8,10.0,0.5126262625781798,1,18.0,0.0,0.0016122329675086907,1.783224684427635e-08,4.4551983658973265e-11,1.6904798888211144e-11,-3.9555142401562935e-22,1.8689202307137392e-15,-2.424174682652758e-22
cell_r20_c15_blob_1_word_3_char_01.png,3,1020,0.00392156862745098,0.0196078431372549,11.4287109375,1421.7878866195679,1260.8175918823467,0.060546875,0.1806640625,67.47462058379779,163.53284680247737,1.4904288259803913,0.11111111111111109,0.03758287626116649,0.1860784243385483,0.12382336440367046,,0.9284313725490196,0.4,304.1110677719116,439.52650356292725,82.703125,2,0,0.0,0.8181818181818181,24.5,0.2858361000295577,2,39.0,23.0,0.002339739838484452,2.7727250456233098e-06,8.68808142786417e-10,1.8386584184342912e-09,2.313789337406795e-18,3.0615629680551138e-12,2.163164350764174e-19
cell_r17_c17_blob_1_word_2_char_01.png,4,1024,0.0,0.0,4.876953125,623.2836875915527,814.0012285003015,0.0263671875,0.0947265625,34.89254798325632,126.26425637917548,0.6722461013565652,0.1111111111111111,0.03836112304138456,0.18053813763482748,0.12435529296007733,,0.9583333333333334,0.3333333333333333,107.06600570678711,162.01171493530273,44.037109375,2,0,0.0,0.9038461538461539,7.25,0.50013343921792,2,14.0,5.0,0.0026152326643055107,4.505594433802382e-06,9.971392762080434e-10,1.0042450055785195e-09,1.0017640133666186e-18,2.0778863852017603e-12,7.97540277606862e-20
cell_r6_c15_blob_1_word_1_char_00.png,5,1024,0.0,0.0,5.2822265625,655.7084341049194,836.6701859155733,0.0234375,0.095703125,28.397826260552716,103.55245211329118,0.5034634731101832,0.1111111111111111,0.05371860989484622,0.20323990862593436,0.13708231255242315,,0.9558823529411765,0.5,108.31298732757568,126.63467311859131,35.875,1,0,0.0,0.9038461538461539,23.5,0.745750624981503,1,33.0,0.0,0.001286620463947349,1.4997462139589681e-07,4.786519401187867e-10,2.852260865798959e-11,2.337713096715283e-21,-4.1057174177554624e-15,2.375260347606189e-21
cell_r0_c4_blob_1_word_8_char_00.png,6,1024,0.0,0.0,7.8212890625,977.8420858383179,1031.4800046535076,0.0283203125,0.1259765625,36.98716657680112,113.46279115802662,1.3128548144947962,0.1111111111111111,0.034954191327330755,0.15729725304093659,0.12210727053323996,,0.9411764705882353,1.0,188.43443202972412,168.845046043396,45.66796875,1,0,0.0,0.8674698795180723,36.0,0.5575339804061735,1,50.0,0.0,0.0012157051197968485,6.041054536665112e-08,1.7474005792268783e-12,4.342017609852696e-12,-1.0946725357746032e-23,1.9632148252909455e-16,-4.817925262732936e-24
cell_r4_c1_blob_1_word_3_char_02.png,7,1022,0.003913894324853229,0.004892367906066536,7.3974609375,1009.2043294906616,1043.772484787753,0.0361328125,0.1181640625,46.07455887487172,145.66177870150418,1.7687896016332412,0.1111111111111111,0.041139142972437016,0.17271774910952067,0.12634297287167065,,0.9406862745098039,0.7692307692307693,155.62522792816162,131.36646938323975,57.13671875,1,0,0.0,0.41935483870967744,19.5,0.15660732707967856,1,38.0,0.0,0.0014885575581706145,1.3376423671308892e-07,3.8172053395810006e-10,1.657948172077556e-11,-2.568297964532031e-22,4.8750568680081946e-15,-1.293705686715446e-21
cell_r8_c19_blob_1_word_3_char_00.png,8,1023,-0.004398826979472141,0.0024437927663734115,13.3427734375,1528.8795766830444,1322.0722370581723,0.06640625,0.1875,67.24191877167462,156.38459498110265,0.8888440375190483,0.1111111111111111,0.036086897634617816,0.16681815212357726,0.12283148873913355,,0.9029411764705882,0.9375,342.2395009994507,275.5122365951538,85.3359375,3,0,0.0,0.8828382838283829,26.5,0.2906781325673179,1,82.0,0.0,0.0018242280604988587,6.60053668767081e-07,8.491832679672982e-12,5.199477305506838e-12,2.2314403498170436e-23,-8.610148110098671e-16,2.6376637013298298e-23
cell_r2_c2_blob_1_word_1_char_01.png,9,1024,0.0,0.0,4.0830078125,424.34174251556396,672.0096725494359,0.0263671875,0.0888671875,25.36014845196072,97.45635831870855,0.5944982243263445,0.1111111111111111,0.05658394037300759,0.2268642454199786,0.1399267918843358,,0.9598039215686275,0.5,65.48007869720459,86.13455867767334,31.63671875,1,0,0.0,0.6428571428571429,18.0,0.34361772507719224,1,31.0,0.0,0.0020776361558781384,1.0930798099404817e-06,1.4546281332318082e-09,8.537377393482091e-11,1.9870003332358385e-20,3.62479791117102e-14,-2.259077488675091e-20
