filename,label
images/15aa242541c444cd8d7fd73d522ce70b.png,а
images/9a400f2753014d5bbd2bd8c072d2462f.png,а
images/782837200ebe4c5ab155dd188a80f559.png,а
images/7983546646804e8eb0c963dab33f9d69.png,б
images/b72521c6e2fa4233b8b0615bc994cded.png,б
images/5fd29d9f5a154730a501bc2c1c009ccc.png,б
images/d77afa89a9ea4b74bb86442f39f7ac6f.png,в
images/06464621da5d413797967ea796de202b.png,в
images/51b07aba9c0044799db0c78553d9e4a4.png,в
images/7c3bdad06b6b43a6ade42613a35e7bed.png,г
images/5e79c05fc2f84fc4b169d8be0f703d17.png,г
images/06b4e3ac34aa49a2a4fed59613c89521.png,г
images/d8b76e6041ef43089bd68b8ed6ac93c8.png,д
images/73bfe7633d1a44e0a35184940aa8ff43.png,д
images/96a363be9228446a8385140c919db475.png,д
images/d133274938bf485f8c7daa1e3c02b9da.png,е
images/da09d14198f943a989e45c17096a7417.png,е
images/b33725155b1c446b82518cbff2f87207.png,е
images/4f36292cf2e741e08c642aa76666b4c5.png,ё
images/2dd5a14726dc4f8da89eb2bbf7ed33a1.png,ё
images/d6d24167d4074d8eb6e4856b81259927.png,ё
images/74254ca8491e426997130b0cc23db269.png,ж
images/26717300c2684ed4a88004aed2200d8c.png,ж
images/e99f45acbb1f4e7faf4527691847aa84.png,ж
images/f07fd782bb03443b9e6b1e3a3d69bc34.png,з
images/30f6dd43e3bf459ea9d1af3f170cc1d7.png,з
images/8ed564758ef8462aa1b83b4daa5b382e.png,з
images/887ecfdb17804af6a0cd17e29fc872b4.png,и
images/b8694479e3d6408ea681af6b3375a3be.png,и
images/c8210b912e32458e97e2b12e533c93e8.png,и
images/372eae9d831841da973ebab541569bde.png,й
images/3a4f2f362a0a4fbb9f8cb1430d0364a3.png,й
images/e2b93c301d3940eeb68e5e56316ceb7e.png,й
images/3ada1dae99ac4ab3a58a7c32960649a1.png,к
images/5423e511b7cd4bf5a988b2d85aee884e.png,к
images/3e3f799c85ec45dc898b5845bafc0098.png,к
images/ac029c34f8ba4616a5d6f19b06d89a4d.png,л
images/063f8c0f8c994fdca7fd2f1624f1edbd.png,л
images/b5bca0ed33af43a78f75722a8e5b7f23.png,л
images/c5ebb011024544098a65130ade8a8f1d.png,м
images/0342beada710423baa241deb0c9c6151.png,м
images/9ecf5f87010d435997c9a1bfb1a32c85.png,м
images/cb1d0d70a3a546489d578f4f8b2749fa.png,н
images/c9ff9e0f2a5741ac9030bf9df7f4ca33.png,н
images/1fcd5c8f438441719e0c3d0a651f0b24.png,н
images/45511aedb23d415096d75ef081fad11f.png,о
images/a4c25c4944804b88ad6deddebbd8e260.png,о
